date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago
20200416,4/16/2020,4,16,107,Thursday,Thu,y,16,16,4/13/2020,20200413,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/16/2019
20200417,4/17/2020,5,17,108,Friday,Fri,y,16,16,4/13/2020,20200413,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/17/2019
20200418,4/18/2020,6,18,109,Saturday,Sat,n,16,16,4/13/2020,20200413,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/18/2019
20200419,4/19/2020,7,19,110,Sunday,Sun,n,16,16,4/13/2020,20200413,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/19/2019
20200420,4/20/2020,1,20,111,Monday,Mon,y,17,17,4/20/2020,20200420,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/20/2019
20200421,4/21/2020,2,21,112,Tuesday,Tue,y,17,17,4/20/2020,20200420,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/21/2019
20200422,4/22/2020,3,22,113,Wednesday,Wed,y,17,17,4/20/2020,20200420,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/22/2019
20200423,4/23/2020,4,23,114,Thursday,Thu,y,17,17,4/20/2020,20200420,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/23/2019
20200424,4/24/2020,5,24,115,Friday,Fri,y,17,17,4/20/2020,20200420,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/24/2019
20200425,4/25/2020,6,25,116,Saturday,Sat,n,17,17,4/20/2020,20200420,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/25/2019
20200426,4/26/2020,7,26,117,Sunday,Sun,n,17,17,4/20/2020,20200420,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/26/2019
20200427,4/27/2020,1,27,118,Monday,Mon,y,18,18,4/27/2020,20200427,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/27/2019
20200428,4/28/2020,2,28,119,Tuesday,Tue,y,18,18,4/27/2020,20200427,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/28/2019
20200429,4/29/2020,3,29,120,Wednesday,Wed,y,18,18,4/27/2020,20200427,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/29/2019
20200430,4/30/2020,4,30,121,Thursday,Thu,y,18,18,4/27/2020,20200427,4,4,April,Apr,2,2020,202004,10,4,2020,m,4/30/2019
20200501,5/1/2020,5,1,122,Friday,Fri,y,18,18,4/27/2020,20200427,5,5,May,May,2,2020,202005,11,4,2020,n,5/1/2019
